"ID","Name","CountryCode","District","Population"
"1","Kabul","AFG","Kabol","1780000"
"2","Qandahar","AFG","Qandahar","237500"
"3","Herat","AFG","Herat","186800"
"4","Mazar-e-Sharif","AFG","Balkh","127800"
"5","Amsterdam","NLD","Noord-Holland","731200"
"6","Rotterdam","NLD","Zuid-Holland","593321"
"7","Haag","NLD","Zuid-Holland","440900"
"8","Utrecht","NLD","Utrecht","234323"
"9","Eindhoven","NLD","Noord-Brabant","201843"
"10","Tilburg","NLD","Noord-Brabant","193238"
"11","Groningen","NLD","Groningen","172701"
"12","Breda","NLD","Noord-Brabant","160398"
"27","Emmen","NLD","Drenthe","105853"
"28","Zwolle","NLD","Overijssel","105819"
"29","Ede","NLD","Gelderland","101574"
"30","Delft","NLD","Zuid-Holland","95268"
"31","Heerlen","NLD","Limburg","95052"
"32","Alkmaar","NLD","Noord-Holland","92713"
"33","Willemstad","ANT","Curaçao","2345"
"34","Tirana","ALB","Tirana","270000"
"35","Alger","DZA","Alger","2168000"
"36","Oran","DZA","Oran","609823"
"37","Constantine","DZA","Constantine","443727"
"38","Annaba","DZA","Annaba","222518"
"39","Batna","DZA","Batna","183377"
"40","Sétif","DZA","Sétif","179055"
"41","Sidi Bel Abbès","DZA","Sidi Bel Abbès","153106"
"42","Skikda","DZA","Skikda","128747"
"43","Biskra","DZA","Biskra","128281"
"44","Blida (el-Boulaida)","DZA","Blida","127284"
"45","Béjaïa","DZA","Béjaïa","117162"
"46","Mostaganem","DZA","Mostaganem","115212"
"47","Tébessa","DZA","Tébessa","112007"
"48","Tlemcen (Tilimsen)","DZA","Tlemcen","110242"
"49","Béchar","DZA","Béchar","107311"
"50","Tiaret","DZA","Tiaret","100118"
"51","Ech-Chleff (el-Asnam)","DZA","Chlef","96794"
"52","Ghardaïa","DZA","Ghardaïa","89415"
"53","Tafuna","ASM","Tutuila","5200"
"54","Fagatogo","ASM","Tutuila","2323"
"55","Andorra la Vella","AND","Andorra la Vella","21189"
"56","Luanda","AGO","Luanda","2022000"
"57","Huambo","AGO","Huambo","163100"
"58","Lobito","AGO","Benguela","130000"
"59","Benguela","AGO","Benguela","128300"
"60","Namibe","AGO","Namibe","118200"
"61","South Hill","AIA","–","961"
"62","The Valley","AIA","–","595"
"63","Saint John´s","ATG","St John","24000"
